Reaction;Subsystem
HMR_4467;Glycine, serine and threonine metabolism
HMR_4582;Glycine, serine and threonine metabolism
HMR_4584;Glycine, serine and threonine metabolism
HMR_4696;Glycine, serine and threonine metabolism
HMR_4697;Glycine, serine and threonine metabolism
HMR_4698;Glycine, serine and threonine metabolism
HMR_4699;Glycine, serine and threonine metabolism
HMR_4700;Glycine, serine and threonine metabolism
HMR_4742;Glycine, serine and threonine metabolism
HMR_4788;Glycine, serine and threonine metabolism
HMR_4789;Glycine, serine and threonine metabolism
HMR_4791;Glycine, serine and threonine metabolism
HMR_4792;Glycine, serine and threonine metabolism
HMR_5392;Glycine, serine and threonine metabolism
HMR_5393;Glycine, serine and threonine metabolism
HMR_6409;Glycine, serine and threonine metabolism
HMR_7702;Glycine, serine and threonine metabolism
HMR_7703;Glycine, serine and threonine metabolism
HMR_8433;Glycine, serine and threonine metabolism
HMR_8434;Glycine, serine and threonine metabolism
HMR_8435;Glycine, serine and threonine metabolism
HMR_8436;Glycine, serine and threonine metabolism
HMR_8437;Glycine, serine and threonine metabolism
HMR_8439;Glycine, serine and threonine metabolism
HMR_8440;Glycine, serine and threonine metabolism
HMR_8441;Glycine, serine and threonine metabolism
HMR_8442;Glycine, serine and threonine metabolism
HMR_4428;Histidine metabolism
HMR_4429;Histidine metabolism
HMR_4430;Histidine metabolism
HMR_4431;Histidine metabolism
HMR_4437;Histidine metabolism
HMR_4658;Histidine metabolism
HMR_4660;Histidine metabolism
HMR_4712;Histidine metabolism
HMR_5338;Histidine metabolism
HMR_5339;Histidine metabolism
HMR_8783;Histidine metabolism
HMR_8784;Histidine metabolism
HMR_4239;Lysine metabolism
HMR_4288;Lysine metabolism
HMR_4596;Lysine metabolism
HMR_4597;Lysine metabolism
HMR_4599;Lysine metabolism
HMR_4667;Lysine metabolism
HMR_4668;Lysine metabolism
HMR_4737;Lysine metabolism
HMR_4739;Lysine metabolism
HMR_4740;Lysine metabolism
HMR_6415;Lysine metabolism
HMR_6974;Lysine metabolism
HMR_6975;Lysine metabolism
HMR_6976;Lysine metabolism
HMR_6977;Lysine metabolism
HMR_6978;Lysine metabolism
HMR_6979;Lysine metabolism
HMR_6980;Lysine metabolism
HMR_6981;Lysine metabolism
HMR_6982;Lysine metabolism
HMR_8017;Lysine metabolism
HMR_8018;Lysine metabolism
HMR_8019;Lysine metabolism
HMR_8021;Lysine metabolism
HMR_8025;Lysine metabolism
HMR_8026;Lysine metabolism
HMR_8027;Lysine metabolism
HMR_8029;Lysine metabolism
HMR_3164;Tryptophan metabolism
HMR_3166;Tryptophan metabolism
HMR_3885;Tryptophan metabolism
HMR_4250;Tryptophan metabolism
HMR_8563;Tryptophan metabolism
HMR_8564;Tryptophan metabolism
HMR_8565;Tryptophan metabolism
HMR_8566;Tryptophan metabolism
HMR_3935;Tyrosine metabolism
HMR_4681;Tyrosine metabolism
HMR_4682;Tyrosine metabolism
HMR_4683;Tyrosine metabolism
HMR_4685;Tyrosine metabolism
